row_in_page,MSA/County,Active In-State Texas Attorneys2 (12-31-16),Texas Population3 (07-01-16),Ratio of Attorneys to Population,Attorneys as a Percent of Total In-State Attorneys4,Population as a Percent of Total Texas Population4,docu_name,page_number,potential_counties_detected,Active In-State Texas Attorneys (12-31-16),Texas Population (07-01-16),Attorneys as a Percent of Total In-State Attorneys,Population as a Percent of Total Texas Population,Active In-State Texas Attorneys2,Attorneys as a Percent of Total In-State Texas Attorneys4,MSA,County,Texas Attorneys2,Population3,Texas Attorneys (12-31-11),Population (07-01-11),Texas Attorneys Percent of Total,Population Percent of Total,Texas Attorneys2 (12-31-11),Population3 (07-01-11),Percent of Total In-State Attorneys4,Percent of Total Texas Population4,Percent of Total In-State Attorneys,Percent of Total Texas Population,Attorneys2 (12-31-11),Ratio of Texas Attorneys to Population,Texas Attorneys Percent of Total In-State Attorneys4,Population Percent of Total Texas Population4,Population Percent of Total In-State Attorneys4,Texas Attorneys,Texas Population
0,.Callahan County,5,13820,,0.01%,0.05%,AttorneyPopulationDensity2016-17.pdf,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,.Jones County,10,20009,,0.01%,0.07%,AttorneyPopulationDensity2016-17.pdf,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,.Taylor County,258,136535,1:529,0.29%,0.49%,AttorneyPopulationDensity2016-17.pdf,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,.Armstrong County,1,1876,"1:1,876",0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,.Carson County,5,6057,"1:1,211",0.01%,0.02%,AttorneyPopulationDensity2016-17.pdf,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Oldham County,0,2076,1:--,0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,.Potter County,438,120832,1:276,0.49%,0.43%,AttorneyPopulationDensity2016-17.pdf,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,.Randall County,162,132501,1:818,0.18%,0.48%,AttorneyPopulationDensity2016-17.pdf,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,.Bastrop County,106,82733,1:781,0.12%,0.30%,AttorneyPopulationDensity2016-17.pdf,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,.Caldwell County,46,41161,1:895,0.05%,0.15%,AttorneyPopulationDensity2016-17.pdf,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,.Hays County,486,204470,1:421,0.54%,0.73%,AttorneyPopulationDensity2016-17.pdf,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,.Travis County,10441,1199323,1:115,11.68%,4.30%,AttorneyPopulationDensity2016-17.pdf,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,.Williamson County,1026,528718,1:515,1.15%,1.90%,AttorneyPopulationDensity2016-17.pdf,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,.Hardin County,,,"1:1,043",,,AttorneyPopulationDensity2016-17.pdf,5,36,54,"56,322",0.06%,0.20%,,,,,,,,,,,,,,,,,,,,,,,
1,.Jefferson County,,,1:395,,,AttorneyPopulationDensity2016-17.pdf,5,36,644,"254,679",0.72%,0.91%,,,,,,,,,,,,,,,,,,,,,,,
2,Newton County,,,"1:2,801",,,AttorneyPopulationDensity2016-17.pdf,5,36,5,"14,003",0.01%,0.05%,,,,,,,,,,,,,,,,,,,,,,,
3,.Orange County,,,"1:1,214",,,AttorneyPopulationDensity2016-17.pdf,5,36,70,"84,964",0.08%,0.30%,,,,,,,,,,,,,,,,,,,,,,,
4,.Cameron County,,,1:729,,,AttorneyPopulationDensity2016-17.pdf,5,36,579,"422,135",0.65%,1.52%,,,,,,,,,,,,,,,,,,,,,,,
5,.Brazos County,,,1:538,,,AttorneyPopulationDensity2016-17.pdf,5,36,410,"220,417",0.46%,0.79%,,,,,,,,,,,,,,,,,,,,,,,
6,.Burleson County,,,1:987,,,AttorneyPopulationDensity2016-17.pdf,5,36,18,"17,760",0.02%,0.06%,,,,,,,,,,,,,,,,,,,,,,,
7,.Robertson County,,,1:798,,,AttorneyPopulationDensity2016-17.pdf,5,36,21,"16,751",0.02%,0.06%,,,,,,,,,,,,,,,,,,,,,,,
8,.Aransas County,,,1:735,,,AttorneyPopulationDensity2016-17.pdf,5,36,35,"25,721",0.04%,0.09%,,,,,,,,,,,,,,,,,,,,,,,
9,.Nueces County,,,1:372,,,AttorneyPopulationDensity2016-17.pdf,5,36,971,"361,350",1.09%,1.30%,,,,,,,,,,,,,,,,,,,,,,,
10,.San Patricio County,,,1:967,,,AttorneyPopulationDensity2016-17.pdf,5,36,70,"67,655",0.08%,0.24%,,,,,,,,,,,,,,,,,,,,,,,
11,.Collin County,,,1:320,,,AttorneyPopulationDensity2016-17.pdf,5,36,"2,937","939,585",3.29%,3.37%,,,,,,,,,,,,,,,,,,,,,,,
12,.Dallas County,,,1:157,,,AttorneyPopulationDensity2016-17.pdf,5,36,"16,369","2,574,984",18.32%,9.24%,,,,,,,,,,,,,,,,,,,,,,,
13,.Denton County,,,1:559,,,AttorneyPopulationDensity2016-17.pdf,5,36,"1,441","806,180",1.61%,2.89%,,,,,,,,,,,,,,,,,,,,,,,
14,.Ellis County,,,1:810,,,AttorneyPopulationDensity2016-17.pdf,5,36,208,"168,499",0.23%,0.60%,,,,,,,,,,,,,,,,,,,,,,,
15,Hood County,,,1:592,,,AttorneyPopulationDensity2016-17.pdf,5,36,96,"56,857",0.11%,0.20%,,,,,,,,,,,,,,,,,,,,,,,
16,.Hunt County,,,"1:1,228",,,AttorneyPopulationDensity2016-17.pdf,5,36,75,"92,073",0.08%,0.33%,,,,,,,,,,,,,,,,,,,,,,,
17,.Johnson County,,,1:928,,,AttorneyPopulationDensity2016-17.pdf,5,36,176,"163,274",0.20%,0.59%,,,,,,,,,,,,,,,,,,,,,,,
18,.Kaufman County,,,1:784,,,AttorneyPopulationDensity2016-17.pdf,5,36,151,"118,350",0.17%,0.42%,,,,,,,,,,,,,,,,,,,,,,,
19,.Parker County,,,1:671,,,AttorneyPopulationDensity2016-17.pdf,5,36,193,"129,441",0.22%,0.46%,,,,,,,,,,,,,,,,,,,,,,,
20,.Rockwall County,,,1:360,,,AttorneyPopulationDensity2016-17.pdf,5,36,261,"93,978",0.29%,0.34%,,,,,,,,,,,,,,,,,,,,,,,
21,Somervell County,,,"1:1,463",,,AttorneyPopulationDensity2016-17.pdf,5,36,6,"8,775",0.01%,0.03%,,,,,,,,,,,,,,,,,,,,,,,
22,.Tarrant County,,,1:376,,,AttorneyPopulationDensity2016-17.pdf,5,36,"5,370","2,016,872",6.01%,7.24%,,,,,,,,,,,,,,,,,,,,,,,
23,.Wise County,,,"1:1,023",,,AttorneyPopulationDensity2016-17.pdf,5,36,63,"64,455",0.07%,0.23%,,,,,,,,,,,,,,,,,,,,,,,
24,.El Paso County,,,1:652,,,AttorneyPopulationDensity2016-17.pdf,5,36,"1,286","837,918",1.44%,3.01%,,,,,,,,,,,,,,,,,,,,,,,
25,Hudspeth County,,,1:--,,,AttorneyPopulationDensity2016-17.pdf,5,36,0,"4,053",0.00%,0.01%,,,,,,,,,,,,,,,,,,,,,,,
26,.Austin County,,,1:647,,,AttorneyPopulationDensity2016-17.pdf,5,36,46,"29,758",0.05%,0.11%,,,,,,,,,,,,,,,,,,,,,,,
27,.Brazoria County,,,1:491,,,AttorneyPopulationDensity2016-17.pdf,5,36,722,"354,195",0.81%,1.27%,,,,,,,,,,,,,,,,,,,,,,,
28,.Chambers County,,,"1:1,247",,,AttorneyPopulationDensity2016-17.pdf,5,36,32,"39,899",0.04%,0.14%,,,,,,,,,,,,,,,,,,,,,,,
29,.Fort Bend County,,,1:419,,,AttorneyPopulationDensity2016-17.pdf,5,36,"1,771","741,237",1.98%,2.66%,,,,,,,,,,,,,,,,,,,,,,,
30,.Galveston County,,,1:408,,,AttorneyPopulationDensity2016-17.pdf,5,36,808,"329,431",0.90%,1.18%,,,,,,,,,,,,,,,,,,,,,,,
