row_in_page,year_doc,Name,Texas Attorneys,Texas Population,Ratio of Attorneys to Population,Attorneys as a Percent of Total In-State Attorneys,docu_name,page_number,potential_counties_detected
11,2016,Callahan County,5,"13,820","1:2,764",0.01%,AttorneyPopulationDensity2016-17.pdf,4,14
12,2016,Jones County,10,"20,009","1:2,001",0.01%,AttorneyPopulationDensity2016-17.pdf,4,14
13,2016,Taylor County,258,"136,535",1:529,0.29%,AttorneyPopulationDensity2016-17.pdf,4,14
15,2016,Armstrong County,1,"1,876","1:1,876",0.00%,AttorneyPopulationDensity2016-17.pdf,4,14
16,2016,Carson County,5,"6,057","1:1,211",0.01%,AttorneyPopulationDensity2016-17.pdf,4,14
17,2016,Oldham County,0,"2,076",1:--,0.00%,AttorneyPopulationDensity2016-17.pdf,4,14
18,2016,Potter County,438,"120,832",1:276,0.49%,AttorneyPopulationDensity2016-17.pdf,4,14
19,2016,Randall County,162,"132,501",1:818,0.18%,AttorneyPopulationDensity2016-17.pdf,4,14
21,2016,Bastrop County,106,"82,733",1:781,0.12%,AttorneyPopulationDensity2016-17.pdf,4,14
22,2016,Caldwell County,46,"41,161",1:895,0.05%,AttorneyPopulationDensity2016-17.pdf,4,14
23,2016,Hays County,486,"204,470",1:421,0.54%,AttorneyPopulationDensity2016-17.pdf,4,14
24,2016,Travis County,"10,441","1,199,323",1:115,11.68%,AttorneyPopulationDensity2016-17.pdf,4,14
25,2016,Williamson County,"1,026","528,718",1:515,1.15%,AttorneyPopulationDensity2016-17.pdf,4,14
1,2016,Hardin County,54,"56,322","1:1,043",0.06%,AttorneyPopulationDensity2016-17.pdf,5,36
2,2016,Jefferson County,644,"254,679",1:395,0.72%,AttorneyPopulationDensity2016-17.pdf,5,36
3,2016,Newton County,5,"14,003","1:2,801",0.01%,AttorneyPopulationDensity2016-17.pdf,5,36
4,2016,Orange County,70,"84,964","1:1,214",0.08%,AttorneyPopulationDensity2016-17.pdf,5,36
6,2016,Cameron County,579,"422,135",1:729,0.65%,AttorneyPopulationDensity2016-17.pdf,5,36
8,2016,Brazos County,410,"220,417",1:538,0.46%,AttorneyPopulationDensity2016-17.pdf,5,36
9,2016,Burleson County,18,"17,760",1:987,0.02%,AttorneyPopulationDensity2016-17.pdf,5,36
10,2016,Robertson County,21,"16,751",1:798,0.02%,AttorneyPopulationDensity2016-17.pdf,5,36
12,2016,Aransas County,35,"25,721",1:735,0.04%,AttorneyPopulationDensity2016-17.pdf,5,36
13,2016,Nueces County,971,"361,350",1:372,1.09%,AttorneyPopulationDensity2016-17.pdf,5,36
14,2016,San Patricio County,70,"67,655",1:967,0.08%,AttorneyPopulationDensity2016-17.pdf,5,36
16,2016,Collin County,"2,937","939,585",1:320,3.29%,AttorneyPopulationDensity2016-17.pdf,5,36
17,2016,Dallas County,"16,369","2,574,984",1:157,18.32%,AttorneyPopulationDensity2016-17.pdf,5,36
