county name,active in state texas attorney_2010,active in state texas attorney_2011,active in state texas attorney_2012,active in state texas attorney_2013,active in state texas attorney_2014,active in state texas attorney_2015,active in state texas attorney_2016,active in state texas attorney_2017,active in state texas attorney_2018,active in state texas attorney_2019,active in state texas attorney_2020,active in state texas attorney_2021,active in state texas attorney_2022,active in state texas attorney_2023,active in state texas attorney_2024,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,population_2021,population_2023,population_2024,ratio of attorney to population_2010,ratio of attorney to population_2011,ratio of attorney to population_2012,ratio of attorney to population_2013,ratio of attorney to population_2014,ratio of attorney to population_2015,ratio of attorney to population_2016,ratio of attorney to population_2017,ratio of attorney to population_2018,ratio of attorney to population_2019,ratio of attorney to population_2020,ratio of attorney to population_2021,ratio of attorney to population_2023,ratio of attorney to population_2024,attorney as a percentage of total in state attorney_2010,attorney as a percentage of total in state attorney_2011,attorney as a percentage of total in state attorney_2012,attorney as a percentage of total in state attorney_2013,attorney as a percentage of total in state attorney_2014,attorney as a percentage of total in state attorney_2015,attorney as a percentage of total in state attorney_2016,attorney as a percentage of total in state attorney_2017,attorney as a percentage of total in state attorney_2018,attorney as a percentage of total in state attorney_2019,attorney as a percentage of total in state attorney_2020,attorney as a percentage of total in state attorney_2021,attorney as a percentage of total in state attorney_2023,attorney as a percentage of total in state attorney_2024,population as a percentage of total texas population_2010,population as a percentage of total texas population_2011,population as a percentage of total texas population_2012,population as a percentage of total texas population_2013,population as a percentage of total texas population_2014,population as a percentage of total texas population_2015,population as a percentage of total texas population_2016,population as a percentage of total texas population_2017,population as a percentage of total texas population_2018,population as a percentage of total texas population_2019,population as a percentage of total texas population_2020,population as a percentage of total texas population_2021,population as a percentage of total texas population_2023,population as a percentage of total texas population_2024
Anderson County,54,57,58,57,54,50,50,50,49,49,53,60,57,56,55,58458,58308,58190,57938,57627,57580,,57741,58057,57735,57922,58402,57736,59512,"1:1,083","1:1,023","1:1,003","1:1,016","1:1,067","1:1,152",,"1:1,155","1:1,185","1:1,178","1:1,093",0.717361111,"1:1,031","1:1,082",0.0006,0.0007,0.0007,0.0007,0.0006,0.0006,,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0006,,0.0023,0.0022,,,0.0021,,0.002,,0.002,0.002,0.002,0.0019,0.002
Andrews County,27,10,10,10,8,8,8,7,9,9,6,9,9,9,9,14786,15445,16117,16799,17477,18105,,17722,18128,18705,18610,18440,18664,18923,0.422222222,"1:1,545","1:1,612","1:1,680","1:2,185","1:2,263",,"1:2,532","1:2,014","1:2,078","1:3,102","1:2,049","1:2,074","1:2,103",0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0006,0.0006,,,0.0007,,0.0006,,0.0007,0.0006,0.0006,0.0006,0.0006
Angelina County,147,139,135,133,126,131,130,128,133,133,126,125,128,127,131,86771,87669,87597,87441,87750,88255,,87805,87092,86715,86395,86506,87319,88094,0.451388889,0.479861111,0.492361111,0.497916667,0.525,0.509722222,,0.518055556,0.496527778,0.494444444,0.518055556,0.522222222,0.519444444,0.508333333,0.0017,0.0017,0.0016,0.0016,0.0015,0.0015,,0.0014,0.0015,0.0015,0.0014,0.0013,0.0013,0.0014,,0.0034,0.0034,,,0.0032,,0.0031,,0.003,0.003,0.0029,0.0029,0.0029
Aransas County,31,36,37,40,43,40,35,40,40,40,45,45,52,60,58,23158,23374,23818,24356,24972,25350,,25572,23792,23510,23830,24510,25374,25595,0.560416667,0.492361111,0.488888889,0.464583333,0.445138889,0.481944444,,0.485416667,0.454861111,0.45,0.409722222,0.420138889,0.335416667,0.347916667,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,,0.0004,0.0004,0.0004,0.0005,0.0005,0.0006,0.0006,,0.0009,0.0009,,,0.0009,,0.0009,,0.0008,0.0008,0.0008,0.0008,0.0009
Archer County,11,6,6,7,6,6,4,4,4,4,4,4,5,6,6,9054,8842,8735,8681,8811,8715,,8809,8786,8553,8560,8681,9029,9155,0.613194444,"1:1,474","1:1,456","1:1,240","1:1,469","1:1,453",,"1:2,202","1:2,197","1:2,138","1:2,140","1:2,170","1:1,505","1:1,526",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0,0,0,0,0,0.0001,0.0001,,0.0003,0.0003,,,0.0003,,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003
Armstrong County,3,1,0,2,3,1,1,1,1,1,1,2,2,2,2,1901,1928,1944,1949,1955,1947,,1879,1892,1887,1848,1839,1832,1809,0.481944444,"1:1,928",1:--,0.71875,0.494444444,"1:1,947",,"1:1,879",1.355555556,"1:1,887","1:1,848",0.680555556,0.677777778,0.670138889,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Atascosa County,35,35,37,36,37,38,39,37,36,36,40,41,44,49,46,44911,45579,46446,47093,47774,48435,,48981,50310,51153,48981,49939,51784,52783,"1:1,283","1:1,302","1:1,255","1:1,308","1:1,291","1:1,275",,"1:1,324","1:1,398","1:1,421","1:1,225","1:1,218",0.775694444,0.838194444,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,,0.0018,0.0018,,,0.0018,,0.0017,,0.0018,0.0017,0.0017,0.0017,0.0018
Austin County,44,52,49,47,50,48,46,51,52,52,56,54,55,58,54,28417,28665,28618,28847,29114,29563,,29786,29989,30032,30167,30380,31677,32546,0.490277778,0.424305556,0.447222222,0.468055556,0.445833333,0.469444444,,0.447222222,0.442361111,0.443055556,0.415972222,0.432638889,0.420833333,0.460416667,0.0005,0.0006,0.0006,0.0006,0.0006,0.0005,,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,,0.0011,0.0011,,,0.0011,,0.0011,,0.001,0.0011,0.001,0.0011,0.0011
Bailey County,4,3,3,3,2,3,3,3,3,3,2,2,3,4,4,7165,7247,7130,7114,6910,7210,,7077,7027,7000,6904,6835,6672,7031,"1:1,791","1:2,416","1:2,377","1:2,371","1:3,455","1:2,403",,"1:2,359","1:2,342","1:2,333","1:3,452","1:3,418","1:1,668","1:1,758",0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0003,0.0003,,,0.0003,,0.0003,,0.0002,0.0002,0.0002,0.0002,0.0002
Bandera County,33,32,31,31,33,32,30,30,31,31,36,38,38,36,38,20485,20538,20537,20601,20892,21269,,22351,22824,23112,20851,21565,22637,22830,0.472916667,0.4875,0.501388889,0.503472222,0.48125,0.503472222,,0.559027778,0.552777778,0.559722222,0.44375,0.436111111,0.478472222,0.459027778,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,,0.0008,0.0008,,,0.0008,,0.0008,,0.0008,0.0007,0.0007,0.0008,0.0008
