county name,active in state texas attorney__2010,active in state texas attorney__2011,active in state texas attorney__2012,active in state texas attorney__2013,active in state texas attorney__2014,active in state texas attorney__2015,active in state texas attorney__2016,active in state texas attorney__2017,active in state texas attorney__2018,active in state texas attorney__2019,active in state texas attorney__2020,active in state texas attorney__2021,active in state texas attorney__2023,active in state texas attorney__2024,population__2010,population__2011,population__2012,population__2013,population__2014,population__2015,population__2016,population__2017,population__2018,population__2019,population__2020,population__2021,population__2023,population__2024,ratio of attorney to population__2010,ratio of attorney to population__2011,ratio of attorney to population__2012,ratio of attorney to population__2013,ratio of attorney to population__2014,ratio of attorney to population__2015,ratio of attorney to population__2016,ratio of attorney to population__2017,ratio of attorney to population__2018,ratio of attorney to population__2019,ratio of attorney to population__2020,ratio of attorney to population__2021,ratio of attorney to population__2023,ratio of attorney to population__2024,attorney as a percentage of total in state attorney__2010,attorney as a percentage of total in state attorney__2011,attorney as a percentage of total in state attorney__2012,attorney as a percentage of total in state attorney__2013,attorney as a percentage of total in state attorney__2014,attorney as a percentage of total in state attorney__2015,attorney as a percentage of total in state attorney__2016,attorney as a percentage of total in state attorney__2017,attorney as a percentage of total in state attorney__2018,attorney as a percentage of total in state attorney__2019,attorney as a percentage of total in state attorney__2020,attorney as a percentage of total in state attorney__2021,attorney as a percentage of total in state attorney__2023,attorney as a percentage of total in state attorney__2024,population as a percentage of total texas population__2010,population as a percentage of total texas population__2011,population as a percentage of total texas population__2012,population as a percentage of total texas population__2013,population as a percentage of total texas population__2014,population as a percentage of total texas population__2015,population as a percentage of total texas population__2016,population as a percentage of total texas population__2017,population as a percentage of total texas population__2018,population as a percentage of total texas population__2019,population as a percentage of total texas population__2020,population as a percentage of total texas population__2021,population as a percentage of total texas population__2023,population as a percentage of total texas population__2024
Anderson County,54,57,58,57,54,50,50,50,49,49,53,60,56,55,58458.0,58308.0,58190.0,57938.0,57627.0,57580.0,,57741.0,58057.0,57735.0,57922.0,58402.0,57736.0,59512.0,"1:1,083","1:1,023","1:1,003","1:1,016","1:1,067","1:1,152",,"1:1,155","1:1,185","1:1,178","1:1,093",0.7173611111111111,"1:1,031","1:1,082",0.0006,0.0007,0.0007,0.0007,0.0006,0.0006,,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0006,,0.0023,0.0022,,,0.0021,,0.002,,0.002,0.002,0.002,0.0019,0.002
Andrews County,27,10,10,10,8,8,8,7,9,9,6,9,9,9,14786.0,15445.0,16117.0,16799.0,17477.0,18105.0,,17722.0,18128.0,18705.0,18610.0,18440.0,18664.0,18923.0,0.4222222222222222,"1:1,545","1:1,612","1:1,680","1:2,185","1:2,263",,"1:2,532","1:2,014","1:2,078","1:3,102","1:2,049","1:2,074","1:2,103",0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0006,0.0006,,,0.0007,,0.0006,,0.0007,0.0006,0.0006,0.0006,0.0006
Angelina County,147,139,135,133,126,131,130,128,133,133,126,125,127,131,86771.0,87669.0,87597.0,87441.0,87750.0,88255.0,,87805.0,87092.0,86715.0,86395.0,86506.0,87319.0,88094.0,0.4513888888888889,0.4798611111111111,0.49236111111111114,0.4979166666666667,0.525,0.5097222222222222,,0.5180555555555556,0.4965277777777778,0.49444444444444446,0.5180555555555556,0.5222222222222223,0.5194444444444445,0.5083333333333333,0.0017,0.0017,0.0016,0.0016,0.0015,0.0015,,0.0014,0.0015,0.0015,0.0014,0.0013,0.0013,0.0014,,0.0034,0.0034,,,0.0032,,0.0031,,0.003,0.003,0.0029,0.0029,0.0029
Aransas County,31,36,37,40,43,40,35,40,40,40,45,45,60,58,23158.0,23374.0,23818.0,24356.0,24972.0,25350.0,,25572.0,23792.0,23510.0,23830.0,24510.0,25374.0,25595.0,0.5604166666666667,0.49236111111111114,0.4888888888888889,0.46458333333333335,0.44513888888888886,0.48194444444444445,,0.48541666666666666,0.4548611111111111,0.45,0.4097222222222222,0.4201388888888889,0.33541666666666664,0.34791666666666665,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,,0.0004,0.0004,0.0004,0.0005,0.0005,0.0006,0.0006,,0.0009,0.0009,,,0.0009,,0.0009,,0.0008,0.0008,0.0008,0.0008,0.0009
Archer County,11,6,6,7,6,6,4,4,4,4,4,4,6,6,9054.0,8842.0,8735.0,8681.0,8811.0,8715.0,,8809.0,8786.0,8553.0,8560.0,8681.0,9029.0,9155.0,0.6131944444444445,"1:1,474","1:1,456","1:1,240","1:1,469","1:1,453",,"1:2,202","1:2,197","1:2,138","1:2,140","1:2,170","1:1,505","1:1,526",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,,0.0003,0.0003,,,0.0003,,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003
Armstrong County,3,1,0,2,3,1,1,1,1,1,1,2,2,2,1901.0,1928.0,1944.0,1949.0,1955.0,1947.0,,1879.0,1892.0,1887.0,1848.0,1839.0,1832.0,1809.0,0.48194444444444445,"1:1,928",1:--,0.71875,0.49444444444444446,"1:1,947",,"1:1,879",1.3555555555555556,"1:1,887","1:1,848",0.6805555555555556,0.6777777777777778,0.6701388888888888,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Atascosa County,35,35,37,36,37,38,39,37,36,36,40,41,49,46,44911.0,45579.0,46446.0,47093.0,47774.0,48435.0,,48981.0,50310.0,51153.0,48981.0,49939.0,51784.0,52783.0,"1:1,283","1:1,302","1:1,255","1:1,308","1:1,291","1:1,275",,"1:1,324","1:1,398","1:1,421","1:1,225","1:1,218",0.7756944444444445,0.8381944444444445,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,,0.0018,0.0018,,,0.0018,,0.0017,,0.0018,0.0017,0.0017,0.0017,0.0018
Austin County,44,52,49,47,50,48,46,51,52,52,56,54,58,54,28417.0,28665.0,28618.0,28847.0,29114.0,29563.0,,29786.0,29989.0,30032.0,30167.0,30380.0,31677.0,32546.0,0.49027777777777776,0.42430555555555555,0.44722222222222224,0.46805555555555556,0.44583333333333336,0.46944444444444444,,0.44722222222222224,0.4423611111111111,0.44305555555555554,0.41597222222222224,0.4326388888888889,0.42083333333333334,0.46041666666666664,0.0005,0.0006,0.0006,0.0006,0.0006,0.0005,,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,,0.0011,0.0011,,,0.0011,,0.0011,,0.001,0.0011,0.001,0.0011,0.0011
Bailey County,4,3,3,3,2,3,3,3,3,3,2,2,4,4,7165.0,7247.0,7130.0,7114.0,6910.0,7210.0,,7077.0,7027.0,7000.0,6904.0,6835.0,6672.0,7031.0,"1:1,791","1:2,416","1:2,377","1:2,371","1:3,455","1:2,403",,"1:2,359","1:2,342","1:2,333","1:3,452","1:3,418","1:1,668","1:1,758",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0003,0.0003,,,0.0003,,0.0003,,0.0002,0.0002,0.0002,0.0002,0.0002
Bandera County,33,32,31,31,33,32,30,30,31,31,36,38,36,38,20485.0,20538.0,20537.0,20601.0,20892.0,21269.0,,22351.0,22824.0,23112.0,20851.0,21565.0,22637.0,22830.0,0.47291666666666665,0.4875,0.5013888888888889,0.5034722222222222,0.48125,0.5034722222222222,,0.5590277777777778,0.5527777777777778,0.5597222222222222,0.44375,0.4361111111111111,0.47847222222222224,0.45902777777777776,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,,0.0008,0.0008,,,0.0008,,0.0008,,0.0008,0.0007,0.0007,0.0008,0.0008
